,Product_name,Product_family,Manufacturer,Price($/Wp),Technology,Region,Maximum_Power(Pmax),Voltage_at_Maximum_Power(Vmpp),Panel_Efficiency,Similar_products,Link,Category
5,SE5-54HBD 430MB,EVO5N SE5-54HBD 415-435MB,"SunEvo Solar Co., Ltd.",0.0844,"Bifacial, TOPCon",China,430.0,32.65,22.02,5,https://www.enfsolar.com/pv/panel-datasheet/crystalline/61885?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=138978,Other
18,SF-M21/132720,SF-M21/132 710-725W HJT,"Shinefar Solar Co., Ltd.",0.083,HJT,China,720.0,40.2,23.18,4,https://www.enfsolar.com/pv/panel-datasheet/crystalline/64154?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=122542,Other
27,LR5-54HTH 425M,Hi-MO X6 Explorer LR5-54HTH 420-440M HPBC Cell,Raylyst Solar s.r.o.,0.1,Back Contact,Czech Republic,425.0,32.64,21.8,5,https://www.enfsolar.com/pv/panel-datasheet/crystalline/60151?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=123085,Other
32,GKA210N132-730,GKA210N132 730-750W,"Nantong Gamko New Energy Co., Ltd.",0.069,"Bifacial, TOPCon, N-type",China,730.0,39.59,23.5,5,https://www.enfsolar.com/pv/panel-datasheet/crystalline/62144?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=119032,"Bifacial, TOPCon, N-type"
42,RMHT54/400O2,RMHT54/385~405O2,REGITEC Solar,0.23,"Bifacial, TOPCon",Belgium,400.0,31.45,20.0,5,https://www.enfsolar.com/pv/panel-datasheet/crystalline/64559?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=130007,Other
47,410W,Sun-Pursuit TW-410HTB-1,"Techwise Solar Technology Co., Ltd.",0.092,PERC,China,410.0,31.6,21.0,3,https://www.enfsolar.com/pv/panel-datasheet/crystalline/60453?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=140768,Other
56,SPV5550-PM10-144,SPV535-560-PM10-144 (Dual Glass/Transparent Backsheet available),"SpolarPV Technology Co., Ltd.",0.0815,PERC,China,550.0,42.57,21.31,6,https://www.enfsolar.com/pv/panel-datasheet/crystalline/60012?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=117372,Other
62,JKM585N-72HL4-BDV,Tiger Neo N-type 72HL4-BDV 570-590W,VNS Bulgaria Ltd.,0.124,"Bifacial, TOPCon, N-type",Bulgaria,585.0,44.02,22.65,1,https://www.enfsolar.com/pv/panel-datasheet/crystalline/66473?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=162438,"Bifacial, TOPCon, N-type"
65,440W,Tiger Neo 54HL4R-(V) 435-460W,SolarDeals,0.157,"TOPCon, N-type",Netherlands,440.0,32.81,22.02,2,https://www.enfsolar.com/pv/panel-datasheet/crystalline/65019?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=161237,Other
67,AE 620CMER-132BDS,Meteor2.0 AE CMER-132BDS 610-630W,AE Alternative Energy GmbH (AE Solar),0.0794,TOPCon,Germany,620.0,41.4,22.97,5,https://www.enfsolar.com/pv/panel-datasheet/crystalline/63099?utm_source=ENF&utm_medium=panel_list&utm_campaign=enquiry_product_directory&utm_content=22783,Other
